Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_1_CreateAccount,,,2019-04-26 14:41:23,2019-04-26 14:41:25,"2,365s",ERROR
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:23,2019-04-26 14:41:24,"1,004s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:23,2019-04-26 14:41:24,"0,812s",PASSED
s,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,014s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,004s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,027s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,010s",PASSED
s,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,003s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,003s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,083s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,004s",PASSED
s,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,001s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:24,"0,019s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:24,2019-04-26 14:41:25,"0,257s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:24,2019-04-26 14:41:25,"0,225s",PASSED
s,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,001s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,002s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,220s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,184s",PASSED
s,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,001s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,030s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,072s",ERROR
Start listener action : sampleBeforeTestCase,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,003s",PASSED
s,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,001s",ERROR
Start listener action : sampleAfterTestCase,,,2019-04-26 14:41:25,2019-04-26 14:41:25,"0,021s",PASSED
